split,column,min,mean,max,std,count
train,pv_gen_kw,0.0,0.421356,3.745149,0.747376,39741
train,load_kw,0.084414,0.520166,3.832125,0.346202,39741
train,net_kw,-3.709323,-0.09881,3.050464,0.803893,39741
train,soc_kwh,0.4,2.22735,9.8,2.631464,39741
train,soc_capacity_kwh,4.0,6.666667,10.0,2.49447,39741
train,battery_power_kw,-3.0,0.023364,3.0,0.725413,39741
train,price_signal,3.0,5.16683,8.0,1.662472,39741
train,forecast_irradiance_1h,0.0,206.723279,921.53,279.894744,39741
train,forecast_irradiance_3h,0.0,206.788404,921.53,279.893998,39741
train,forecast_temp_1h,10.81,21.401737,34.41,5.924958,39741
train,actual_irradiance_wm2,0.0,206.722262,921.53,279.895484,39741
train,voltage_v,230.0,230.0,230.0,0.0,39741
train,current_a,0.000261,2.586304,16.127491,2.389764,39741
train,offered_kwh,0.020011,0.113177,0.254205,0.061552,5733
train,offer_price,4.0375,5.478853,6.59949,0.485643,5733
train,reward,-0.772174,-0.082464,0.003255,0.100919,39741
val,pv_gen_kw,0.0,0.526793,3.821376,0.906777,12096
val,load_kw,0.085159,0.520348,3.424375,0.34692,12096
val,net_kw,-3.240279,0.006445,3.176117,0.948454,12096
val,soc_kwh,0.4,2.495563,9.8,2.803072,12096
val,soc_capacity_kwh,4.0,6.666667,10.0,2.494541,12096
val,battery_power_kw,-2.957221,0.027438,3.0,0.797468,12096
val,price_signal,3.0,5.166667,8.0,1.662564,12096
val,forecast_irradiance_1h,0.0,254.681156,926.33,331.338866,12096
val,forecast_irradiance_3h,0.0,254.6273,926.33,331.334476,12096
val,forecast_temp_1h,15.26,24.841298,35.33,6.523027,12096
val,actual_irradiance_wm2,0.0,254.675893,926.33,331.342828,12096
val,voltage_v,230.0,230.0,230.0,0.0,12096
val,current_a,0.002352,2.926004,14.08817,2.906007,12096
val,offered_kwh,0.02001,0.116166,0.264676,0.073913,2782
val,offer_price,4.010775,5.406597,6.598124,0.522029,2782
val,reward,-0.818902,-0.097374,-2e-06,0.12889,12096
test,pv_gen_kw,0.0,0.557731,4.311733,0.952529,25923
test,load_kw,0.083256,0.519091,2.611011,0.342493,25923
test,net_kw,-2.61101,0.038641,3.571912,0.988277,25923
test,soc_kwh,0.4,2.556468,9.8,2.825955,25923
test,soc_capacity_kwh,4.0,6.666667,10.0,2.494486,25923
test,battery_power_kw,-2.052731,0.027642,3.0,0.801519,25923
test,price_signal,3.0,5.166416,8.0,1.662594,25923
test,forecast_irradiance_1h,0.0,269.088535,1025.2,345.481287,25905
test,forecast_irradiance_3h,0.0,269.439329,1025.2,345.863123,25833
test,forecast_temp_1h,15.01,27.429026,39.26,6.686356,25905
test,actual_irradiance_wm2,0.0,268.90771,1025.2,345.429422,25923
test,voltage_v,230.0,230.0,230.0,0.0,25923
test,current_a,0.000152,3.004346,15.530052,3.076606,25923
test,offered_kwh,0.020007,0.121459,0.297659,0.078193,6180
test,offer_price,4.002623,5.408612,6.599153,0.522573,6180
test,reward,-0.917349,-0.100938,-4e-06,0.137296,25923
